Area,PDP,Metric,Label
4368648,879.8586961670107,32.33346592602593,set2
4350399,883.3889069564038,32.226392979895394,set2
4379219,929.1914951698418,36.96044452556823,set2
4352193,880.2737324414928,32.226614396495165,set2
4354637,928.7248385367502,36.950461835358254,set2
4378963,929.1874651973332,36.96002139380599,set2
4351853,880.9313821424568,32.31075851079839,set2
4357048,927.8615187606486,36.94677935982427,set2
4369079,929.39450389464,36.95471529927469,set2
4350267,900.1132449238617,24.93016534096894,set1
