CNN,PDP,Area,Label
87,869.3951358843325,43076.30216578912,set2
4398874,928.8136830632168,0.003994738862752751,set2
87,868.9830307246152,43119.334297747744,set2
4429245,929.7434927366288,0.00417130813223018,set2
93,880.0754502435636,43499.59883582619,set1
89,869.3182750842612,43126.711043768766,set2
4398399,925.1533653643824,0.003980331655867113,set2
4396147,929.3828039454708,0.003948298300106985,set2
4349039,928.421130292772,0.0039402986393073155,set2
87,868.9830307246152,43119.334297747744,set2
